MMS Id,Linked to NZ,Title,ISBN,ISSN,Linked to CZ
990005270960205516,No,,,,No
990005270970205516,No,,,,No
990005272910205516,No,,,,No
990005273000205516,No,,,,No
990005273030205516,No,,,,No
990005274290205516,No,: planning and analysis,0134648854; 9780134648859,,No
990005277030205516,No,,,,No
990005281560205516,No,: éléments de base de l'acupuncture,2225818649; 9782225818646,,No
990005282680205516,No,,2729889647; 9782729889647,,No
990005290120205516,No,,9231017799; 9789231017797,,No
990005290900205516,No,: physical fact and function,0121685403; 9780121685409,,No
990005290920205516,No,,012168542X; 9780121685423,,No
990005290930205516,No,,0121685446; 9780121685447,,No
990005290960205516,No,,0121685454; 9780121685454,,No
990005290970205516,No,,0121685462; 9780121685461,,No
990005293450205516,No,,920159187X; 9789201591876,,No
990005295500205516,No,,,,No
990005296450205516,No,: formulaire et corrigé,,,No
990005296500205516,No,,,,No
990005298680205516,No,: 1-460 A-Food and diet for space travel,0893566012; 9780893566012,,No
990005298800205516,No,: 461-946 The French space program-The Mercury project,0893566020; 9780893566029,,No
990005298830205516,No,": 947-1430 The development of the Mercury project-Soyuz 6, 7, and 8",0893566039; 9780893566036,,No
990005298860205516,No,: 1431-1916 Soyuz 9-Spaceplanes,0893566047; 9780893566043,,No
990005299130205516,No,: 1917-2328 The development of spacesuits-Z index,0893566055; 9780893566050,,No
990005302610205516,No,,2704210373; 9782704210374,,No
990005303240205516,No,: basics,0444860177; 9780444860170,,No
990005306860205516,No,: [plates],,,No
990005310060205516,No,: Antiquité et Moyen Age,2130429750; 9782130429753,,No
990005310090205516,No,: XVIIe-XVIIIe siècles,2130420052; 9782130420057,,No
990005310110205516,No,": XIXe-XXe siècles, index général",2130423329; 9782130423324,,No
990005311810205516,No,: concours d'entrée aux Grandes Ecoles scientifiques (options M & P) problèmes corrigés,2730320016; 9782730320016,,No
990005319520205516,No,: permis B et C,2857250401; 9782857250401,,No
990005327760205516,No,: contrôlabilité exacte,2225814775; 9782225814778,,No
990005328140205516,No,: perturbations,2225814740; 9782225814747,,No
990005328550205516,No,": Baccalauréat (séries C et E) épreuves corrigées, édition 1978-1979",2730310010; 9782730310017; 2701108004; 9782701108001,,No
990005328570205516,No,,0306428415; 9780306428418,,No
990005328590205516,No,,0306432609; 9780306432606,,No
990005328670205516,No,,0306411423; 9780306411427,,No
990005328690205516,No,,030641404X; 9780306414046,,No
990005328710205516,No,,0306419602; 9780306419607,,No
990005328730205516,No,,0306423324; 9780306423321,,No
990005330470205516,No,,0201058162; 9780201058161,,No
990005330490205516,No,,0201058170; 9780201058178,,No
990005334340205516,No,,,,No
990005334510205516,No,,,,No
990005334970205516,No,,2711721582; 9782711721580,,No
990005335020205516,No,,2711721593,,No
990005336500205516,No,: à l'usage des étudiants des classes préparatoires aux grandes écoles scientifiques et du premier cycle des universités,2711721507; 9782711721504,,No
