Electronic Collection Public Name,MMS Id,Title,Portfolio Id,Electronic Collection Id
ACM Digital Library Complete,99116720239505516,"SUI '16 : proceedings of the 2016 Symposium on Spatial User Interaction : October 15-16, 2016, Tokyo, Japan /",5333638080005516,6128471210005516
EZB-FREE-00999 freely available EZB journals,99116795498505516,Uhu d. neue Ullsteinmagazin,5345390030005516,6142815690005516
Springer Engineering eBooks 2018 English/International,99116714220905516,Advances in Structural and Multidisciplinary Optimization Proceedings of the 12th World Congress of Structural and Multidisciplinary Optimization (WCSMO12)  /,5332361890005516,6128472990005516
MIT Press Direct to Open Backfile Complete Monographs,99116800545605516,Beyond 9/11 : homeland security for the twenty-first century /,5346157830005516,6146113900005516
"Ebook Central Perpetual, DDA and Subscription Titles",99116729804405516,A gust of photo-Philia : photography in the art museum /,5334985180005516,6128471720005516
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,99116711563505516,The first computers history and architectures,5331798390005516,6128472640005516
IEEE Electronic Library (IEL) Conference Proceedings,99116700632805516,2003 IEEE International Symposium on Intelligent Control,5329392590005516,6128472830005516
Wiley Online Book 2011 to Present,99116805817605516,Food microbiology : fundamentals and frontiers /,5346826700005516,6146764050005516
IEEE Electronic Library (IEL) Conference Proceedings,99116708979505516,"NTSP : 2018 New Trends in Signal Processing : 10-12 October 2018, Demanovska Dolina, Slovakia /",5331234530005516,6128472830005516
EZB-FREE-00999 freely available EZB journals,99116796390705516,Activitatea de cercetare - dezvoltare anul ...,5345686430005516,6142815690005516
Springer Biomedical and Life Sciences eBooks 2020 English/International,99116719631605516,Integrative Biological Control Ecostacking for Enhanced Ecosystem Services /,5333525570005516,6128473810005516
Springer Economics and Finance eBooks 2017 English/International,99116707006905516,Global Entrepreneurship and Development Index 2016,5330799040005516,6128471960005516
American Mathematical Society eBooks,99116713371505516,Introduction to spectral theory : selfadjoint ordinary differential operators /,5332189830005516,6128473930005516
IEEE Electronic Library (IEL) Conference Proceedings,99116696728805516,"2017 Open Conference of Electrical, Electronic and Information Sciences (eStream)",5328572950005516,6128472830005516
IEEE Electronic Library (IEL),99116699225905516,2008 13th International Seminar/Workshop on Direct and Inverse Problems of Electromagnetic and Acoustic Wave Theory : 22-25 September 2008.,5329107560005516,6128473920005516
McGraw Hill Ebook Library Schaum's Course Outlines,99116699038505516,Beginning chemistry /,5329053500005516,6128473890005516
IEEE Electronic Library (IEL),99116713767605516,IEEE Std 1127-2013 (Revision of IEEE Std 1127-1998) - Redline,5332281880005516,6128473920005516
SPIE Digital Library Proceedings,99116705696305516,"ICMV 2011 : fourth International Conference on Machine Vision : computer vision and image analysis : pattern recognition and basic technologies : 9-10 December 2011, Singapore /",5330522510005516,6128471540005516
Springer Engineering eBooks 2012 English/International,99116700929105516,Cross Disciplinary Biometric Systems,5329463440005516,6128472790005516
Springer Computer Science eBooks 2018 English/International,99116696865905516,"Internet of Things (IoT) Technologies for HealthCare 4th International Conference, HealthyIoT 2017, Angers, France, October 24-25, 2017, Proceedings /",5328616420005516,6128473030005516
IEEE Electronic Library (IEL) Conference Proceedings,99116713979805516,2013 5th IEEE International Memory Workshop (IMW),5332324510005516,6128472830005516
IEEE Electronic Library (IEL) Conference Proceedings,99116720843405516,"2018 1st International Conference on Multimedia Analysis and Pattern Recognition : 5-6 April 2018, Ho Chi Minh City, Vietnam /",5333766380005516,6128472830005516
SPIE Digital Library Proceedings,99116718692405516,"Real-time imaging V : 24-25 January 2001, San Jose, USA",5333340680005516,6128471540005516
ACM Digital Library Complete,99116696259405516,Proceedings of the 4th ACM Conference on Electronic Commerce,5328498450005516,6128471210005516
"Ebook Central Perpetual, DDA and Subscription Titles",99116704805705516,The Communist Manifesto.,5330330770005516,6128471720005516
EZB-FREE-00999 freely available EZB journals,99116796287705516,Düsseldorfer Japanstudien DJAS,5345636310005516,6142815690005516
SPIE Digital Library Proceedings,99116716733905516,"Infrared image sensor technology : April 8-9, 1980, Washington, D.C. /",5332894330005516,6128471540005516
IEEE Electronic Library (IEL) Conference Proceedings,99116700776205516,"Computer Vision Theory and Applications (VISAPP), 2014 International Conference on",5329460360005516,6128472830005516
"Ebook Central Perpetual, DDA and Subscription Titles",99116782247205516,"Fearless Cross-Platform Development with Delphi : Expand Your Delphi Skills to Build a New Generation of Windows, Web, Mobile, and IoT Applications.",5342680490005516,6128471720005516
,990000706600205516,Théorie et solution des équations en mécanique des fluides parfaits à écoulement pseudo-tridimensionnel,5328442400005516,None
"Ebook Central Perpetual, DDA and Subscription Titles",99116757088605516,Resiligence : GOA Resili(g)ent City.,5338872310005516,6128471720005516
Springer Book Archive - Mathematics,99116717806305516,Fuzzy logic and intelligent systems /,5333142870005516,6128471500005516
EZB-FREE-00999 freely available EZB journals,99116792081005516,Apuntes hispanicos.,5344232060005516,6142815690005516
EZB-FREE-00999 freely available EZB journals,99116796562305516,"Journal of the College of Law, Al-Nahrain University JBRC",5345644510005516,6142815690005516
Wiley Online Library Database Model 2018,99116703423705516,WIREs.,5330021740005516,6128470300005516
IEEE Electronic Library (IEL) Conference Proceedings,99116712211005516,1975 IEEE Power Electronics Specialists Conference,5331926400005516,6128472830005516
American Institute of Aeronautics and Astronautics Publications,99116719428505516,International Communications Satellite Systems Conferences (ICSSC): 21st International Communications Satellite Systems Conference and Exhibit,5333481650005516,6128470030005516
ASTM Symposia Papers,99116711119605516,Extending Aggregate Resources,5331683590005516,6128470600005516
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,99116720829105516,Beyond bibliometrics : harnessing multidimensional indicators of scholarly impact /,5333784190005516,6128472640005516
EZB-FREE-00999 freely available EZB journals,99116791259305516,Deutscher Nachhaltigkeitsalmanach Initiativen und Eindrücke zur gesellschaftlichen Realität der Nachhaltigkeit,5343871900005516,6142815690005516
Springer Physics and Astronomy eBooks 2019 English/International,99116733283005516,"From Cave Man to Cave Martian Living in Caves on the Earth, Moon and Mars /",5335629630005516,6135579820005516
EZB-FREE-00999 freely available EZB journals,99116792803005516,Journal of formalized reasoning.,5344441250005516,6142815690005516
